"jaar";"Belgium";"France";"Luxemburg";"Germany";"Netherlands";"Spain";"Great Britain and Northern Ireland"
"1951";"55000";"290000";"1800";"265000";"14200";"2000";"208000"
"1952";"53500";"280000";"1800";"240000";"14100";"0";"200000"
"1953";"53000";"270000";"1800";"228000";"13900";"0";"192000"
"1954";"53000";"263000";"1800";"225000";"12400";"2000";"182000"
"1955";"53000";"345415";"1800";"219000";"11400";"0";"175000"
"1956";"65000";"363290";"1900";"221000";"13600";"0";"182000"
"1957";"69000";"389480";"1900";"217000";"13500";"0";"179000"
"1958";"63000";"381152";"1900";"212000";"13000";"0";"175000"
"1959";"58000";"387201";"1900";"205000";"12800";"0";"170000"
"1960";"55000";"245935";"1900";"197000";"12000";"0";"167000"
"1961";"53000";"253375";"1900";"190000";"10000";"2000";"164000"
"1962";"51000";"259740";"1900";"185000";"10000";"2000";"160000"
"1963";"50000";"174057";"1900";"182000";"9500";"2000";"157000"
"1964";"47000";"175861";"0";"180000";"9500";"14000";"160000"
"1965";"47000";"177665";"0";"180000";"9000";"14000";"170000"
"1966";"40000";"179468";"0";"140000";"8500";"17000";"167000"
"1967";"34000";"177200";"0";"112000";"8000";"20000";"164000"
"1968";"33000";"176736";"0";"110000";"8000";"20000";"161000"
"1969";"30000";"175242";"0";"113000";"8000";"23000";"162000"
"1970";"31500";"156543";"0";"115000";"8524";"29500";"162000"
"1971";"29000";"141844";"0";"125000";"8600";"38000";"150000"
"1972";"29000";"9800";"0";"125000";"8830";"40000";"150000"
"1973";"20000";"101830";"0";"125000";"8400";"26000";"150000"
"1974";"11100";"105538";"0";"123000";"8015";"18000";"155500"
"1975";"16788";"109882";"0";"122000";"7850";"16000";"153000"
"1976";"17000";"114634";"0";"122000";"7900";"16500";"153000"
"1977";"17000";"119413";"0";"120000";"8000";"15000";"148000"
"1978";"17000";"126229";"0";"120000";"8000";"15000";"150000"
"1979";"32000";"119489";"0";"83500";"10000";"26000";"146000"
"1980";"33000";"121958";"0";"87000";"12000";"21500";"148000"
"1981";"35000";"125597";"0";"100000";"13000";"21500";"146000"
"1982";"21000";"152223";"0";"10000";"14000";"23500";"143000"
"1983";"35000";"164113";"0";"115000";"14500";"23700";"140000"
"1984";"36400";"169863";"0";"126600";"15000";"9900";"135000"
"1985";"36600";"174213";"0";"475000";"15500";"9300";"135000"
"1986";"35900";"180258";"0";"547900";"16000";"10200";"100000"
"1987";"22000";"179306";"0";"596200";"24000";"9200";"100000"
"1988";"23117";"183946";"0";"610200";"25963";"8691";"39759"
"1989";"25531";"180258";"0";"628500";"16971";"8676";"46017"
"1990";"25911";"193000";"687";"816000";"17337";"8303";"43632"
"1991";"24071";"174756";"692";"821500";"19020";"4003";"43371"
"1992";"24292";"156512";"2208";"1236000";"29739";"4036";"64726"
"1993";"24908";"166269";"225";"1418000";"43538";"4997";"80230"
"1994";"19497";"195288";"300";"1354600";"62163";"5361";"85160"
"1995";"31691";"155245";"700";"1267900";"79960";"5852";"90909"
"1996";"36060";"151329";"700";"1266000";"102588";"5688";"98577"
"1997";"26060";"146558";"700";"1049000";"118071";"5532";"107933"
"1998";"15509";"140215";"700";"949200";"131490";"5939";"121716"
"1999";"16760";"129722";"700";"975500";"138646";"6714";"148922"
"2000";"18823";"132508";"759";"906000";"146180";"6987";"186248"
"2001";"12265";"131601";"1201";"983000";"151928";"6806";"233389"
"2002";"12578";"131182";"1201";"980000";"148362";"6780";"260687"
"2003";"12595";"130838";"11201";"960395";"140886";"5900";"276521"
"2004";"13529";"139852";"1596";"876622";"126805";"5686";"298844"
"2005";"15282";"137316";"1822";"700016";"118189";"5374";"303181"
"2006";"16820";"145996";"2206";"605410";"100574";"5275";"301556"
"2007";"15575";"151786";"2737";"578879";"86587";"5147";"299718"
"2008";"17026";"171208";"3109";"582735";"77600";"4661";"292097"
"2009";"15545";"196364";"3230";"593799";"76008";"3970";"269363"
"2010";"17892";"200667";"3254";"594269";"74961";"3820";"238150"
"2011";"22402";"210807";"2855";"571684";"74598";"4228";"193510"
"2012";"22024";"217865";"2910";"589737";"71909";"4510";"149799"
"2013";"25629";"232487";"920";"187567";"74707";"4637";"126055"
"2014";"29179";"252264";"1108";"216973";"82494";"5798";"117161"
